股票代码,股票名称,日期,开盘,收盘,最高,最低,成交量,换手率,成交额
300666,江丰电子,2023-01-03,68.12,72.12,72.62,67.61,5775500.0,0.0329,414790600.0
300666,江丰电子,2023-01-04,72.14,68.39,74.78,67.82,9669000.0,0.055,690125500.0
300666,江丰电子,2023-01-05,68.46,69.05,69.4,66.81,6438300.0,0.036699999999999997,446260600.0
300666,江丰电子,2023-01-06,68.71,70.26,71.15,68.02,5934200.0,0.0338,422280400.0
300666,江丰电子,2023-01-09,70.46,72.29,73.31,69.92,6223600.0,0.0354,454543900.0
300666,江丰电子,2023-01-10,72.06,72.73,74.06,71.61,6623600.0,0.0377,491120199.99999994
300666,江丰电子,2023-01-11,72.91,73.47,76.13,72.84,10053100.0,0.0572,763210000.0
300666,江丰电子,2023-01-12,73.47,71.9,73.91,71.67,4440900.0,0.0253,325593200.0
300666,江丰电子,2023-01-13,72.31,71.44,72.31,70.5,3227300.0,0.0184,233745500.0
300666,江丰电子,2023-01-16,70.61,71.94,72.9,70.51,4193500.0,0.0239,306063500.0
300666,江丰电子,2023-01-17,71.85,74.54,74.81,71.61,6223300.0,0.0354,466521400.0
300666,江丰电子,2023-01-18,74.84,74.04,75.41,73.78,3480900.0,0.019799999999999998,263305400.0
300666,江丰电子,2023-01-19,74.3,75.24,75.91,73.21,3594300.0,0.020499999999999997,272668400.0
300666,江丰电子,2023-01-20,74.91,75.05,75.47,74.52,3186500.0,0.0181,242462000.0
300666,江丰电子,2023-01-30,75.84,72.99,76.03,72.87,7070600.0,0.0403,528653300.0
300666,江丰电子,2023-01-31,73.27,70.51,73.76,69.63,8270100.0,0.0471,598116300.0
300666,江丰电子,2023-02-01,70.5,73.71,73.79,70.42,8204400.0,0.0467,604748000.0
300666,江丰电子,2023-02-02,73.91,74.79,77.44,73.01,11158600.0,0.0635,849228500.0
300666,江丰电子,2023-02-03,74.51,77.37,77.42,74.04,10135900.0,0.057699999999999994,783532000.0
300666,江丰电子,2023-02-06,76.18,75.1,76.91,74.62,7322600.0,0.0417,561106000.0
300666,江丰电子,2023-02-07,74.91,74.45,75.41,73.74,4960100.0,0.0282,374131100.0
300666,江丰电子,2023-02-08,74.22,73.69,75.91,73.41,4569200.0,0.026000000000000002,344436900.0
300666,江丰电子,2023-02-09,73.33,78.24,78.33,72.0,11961600.0,0.0681,928141200.0
300666,江丰电子,2023-02-10,78.41,76.8,78.79,76.03,7183700.0,0.0409,561141700.0
300666,江丰电子,2023-02-13,76.69,78.22,78.88,76.09,6913200.0,0.0394,545828800.0
300666,江丰电子,2023-02-14,78.38,77.64,80.36,77.24,6121600.0,0.0348,485934000.0
300666,江丰电子,2023-02-15,77.18,79.22,79.41,76.21,6755200.0,0.0384,534202400.0
300666,江丰电子,2023-02-16,78.9,79.6,82.86,78.02,12189400.0,0.0694,996555300.0
300666,江丰电子,2023-02-17,79.6,74.81,79.7,74.56,9584500.0,0.0545,744128000.0
300666,江丰电子,2023-02-20,74.12,76.14,76.41,73.35,6055400.0,0.0345,459280000.0
300666,江丰电子,2023-02-21,75.79,76.21,76.85,75.54,3524400.0,0.020099999999999996,271985800.0
300666,江丰电子,2023-02-22,75.41,75.77,76.66,74.93,3193700.0,0.0182,245689800.0
300666,江丰电子,2023-02-23,75.77,76.31,77.11,75.44,4044200.0,0.023,313968100.0
300666,江丰电子,2023-02-24,76.89,78.18,78.8,75.93,5710400.0,0.0325,449428800.0
300666,江丰电子,2023-02-27,77.47,77.46,78.48,76.35,4099600.0,0.0233,322178300.0
300666,江丰电子,2023-02-28,77.53,76.91,78.71,76.42,3870500.0,0.022000000000000002,304021400.0
300666,江丰电子,2023-03-01,76.71,77.13,77.13,75.54,4096100.0,0.0233,317067200.0
300666,江丰电子,2023-03-02,76.92,75.46,78.12,75.46,4337100.0,0.024700000000000003,338224100.00000006
300666,江丰电子,2023-03-03,76.83,77.06,77.79,75.58,5423300.0,0.030899999999999997,422786400.0
300666,江丰电子,2023-03-06,77.06,78.83,79.71,75.02,8062200.0,0.045899999999999996,636373200.0
300666,江丰电子,2023-03-07,78.83,75.16,80.39,74.91,7064400.0,0.04019999999999999,552584600.0
300666,江丰电子,2023-03-08,74.91,75.56,76.63,74.07,5349800.0,0.0304,409293000.0
300666,江丰电子,2023-03-09,75.29,77.18,78.57,75.11,6732000.0,0.0383,527668800.0
300666,江丰电子,2023-03-10,76.73,77.49,79.41,74.59,9308700.0,0.053,728287600.0
300666,江丰电子,2023-03-13,76.99,76.21,77.91,75.19,5898400.0,0.0336,455091400.0
300666,江丰电子,2023-03-14,75.64,78.43,78.89,75.14,8221000.0,0.046799999999999994,644186400.0
300666,江丰电子,2023-03-15,78.89,78.91,81.99,77.85,9830100.0,0.0559,795387100.0000001
300666,江丰电子,2023-03-16,78.41,78.15,79.88,77.04,6114200.0,0.0348,486679200.0
300666,江丰电子,2023-03-17,79.31,80.21,80.89,78.23,8306200.0,0.0473,672489400.0
300666,江丰电子,2023-03-20,80.11,80.57,81.56,78.72,8769400.0,0.0499,714047800.0
300666,江丰电子,2023-03-21,80.54,79.06,80.6,77.93,7592200.0,0.0432,609221700.0
300666,江丰电子,2023-03-22,78.71,77.06,78.95,76.13,8150600.0,0.0464,639551800.0
300666,江丰电子,2023-03-23,76.41,78.14,78.38,76.31,6300400.0,0.0359,495912500.0
300666,江丰电子,2023-03-24,78.37,75.3,78.41,75.24,7939500.0,0.0452,614845600.0
300666,江丰电子,2023-03-27,74.41,74.51,76.41,74.12,5474500.0,0.031200000000000002,417785199.99999994
300666,江丰电子,2023-03-28,74.16,68.71,74.4,68.5,11896500.0,0.0677,852526500.0
300666,江丰电子,2023-03-29,68.41,69.81,70.86,68.23,6329200.0,0.036000000000000004,448862600.0
300666,江丰电子,2023-03-30,69.82,69.49,71.3,69.26,5091100.0,0.028999999999999998,362167400.0
300666,江丰电子,2023-03-31,69.17,69.11,70.19,68.82,4983800.0,0.028399999999999998,350564500.0
300666,江丰电子,2023-04-03,69.56,71.4,71.48,69.09,7614300.0,0.0433,545351400.0
300666,江丰电子,2023-04-04,71.71,74.52,76.6,70.77,13389700.0,0.0762,1004403200.0000001
300666,江丰电子,2023-04-06,74.51,80.08,81.78,74.12,20516800.0,0.1168,1653680100.0
300666,江丰电子,2023-04-07,80.41,80.91,82.25,78.94,15253400.0,0.0868,1246963400.0
300666,江丰电子,2023-04-10,81.91,77.46,82.23,77.09,14327000.0,0.0737,1146856800.0
300666,江丰电子,2023-04-11,77.99,78.81,80.11,77.21,9651300.0,0.0496,769421300.0
300666,江丰电子,2023-04-12,78.83,82.71,84.76,76.92,17349800.0,0.0892,1432102100.0
300666,江丰电子,2023-04-13,81.85,80.36,82.91,80.1,10122900.0,0.0521,834544400.0
300666,江丰电子,2023-04-14,80.95,86.18,87.37,79.16,20353100.0,0.1047,1730805600.0
300666,江丰电子,2023-04-17,86.96,84.39,87.48,83.51,14634600.0,0.0753,1264632600.0
300666,江丰电子,2023-04-18,83.91,81.07,83.92,80.71,12167900.0,0.0626,1006819000.0
300666,江丰电子,2023-04-19,80.61,81.43,83.79,80.57,11078300.0,0.057,921316600.0
300666,江丰电子,2023-04-20,81.21,82.62,84.2,81.11,11866300.0,0.0574,994924100.0
300666,江丰电子,2023-04-21,82.24,77.42,82.61,77.24,12975300.0,0.06280000000000001,1041974200.0
300666,江丰电子,2023-04-24,76.81,72.94,77.16,72.38,12194700.0,0.058600000000000006,914003500.0
300666,江丰电子,2023-04-25,72.99,71.17,74.38,70.09,8092300.0,0.038900000000000004,592434200.0
300666,江丰电子,2023-04-26,71.07,70.78,71.99,68.21,10205600.0,0.049100000000000005,726460200.0
300666,江丰电子,2023-04-27,70.06,70.6,71.86,69.8,7357100.0,0.0354,529876500.0
300666,江丰电子,2023-04-28,71.91,72.44,72.82,70.67,9488300.0,0.045599999999999995,692660500.0
300666,江丰电子,2023-05-04,71.56,70.64,71.96,69.49,6063600.0,0.0291,434751000.0
300666,江丰电子,2023-05-05,70.17,69.68,71.61,69.31,4571000.0,0.022000000000000002,326374200.0
300666,江丰电子,2023-05-08,69.01,69.78,70.35,68.51,3856400.0,0.018500000000000003,272709500.0
300666,江丰电子,2023-05-09,69.2,65.97,69.27,65.93,8907600.0,0.042800000000000005,606665700.0
300666,江丰电子,2023-05-10,65.42,61.84,65.7,61.17,11300400.0,0.054299999999999994,717073800.0
300666,江丰电子,2023-05-11,62.85,61.41,63.23,61.36,5998300.0,0.0288,378746500.0
300666,江丰电子,2023-05-12,61.17,61.86,62.88,60.78,6401000.0,0.0308,402576400.0
300666,江丰电子,2023-05-15,61.51,63.84,63.9,60.71,7015800.0,0.0337,445418300.0
300666,江丰电子,2023-05-16,63.66,64.12,65.1,63.42,5602200.0,0.0269,366884700.0
300666,江丰电子,2023-05-17,63.72,64.96,65.51,63.41,4816100.0,0.0232,317538900.0
300666,江丰电子,2023-05-18,64.59,66.47,67.3,64.11,6848700.0,0.0329,457655199.99999994
300666,江丰电子,2023-05-19,66.64,66.64,67.11,65.19,5116300.0,0.0246,344966400.0
300666,江丰电子,2023-05-22,66.66,67.01,67.41,65.29,5124800.0,0.0246,346359900.0
300666,江丰电子,2023-05-23,66.63,66.53,68.19,65.91,4640900.0,0.0223,316400100.0
300666,江丰电子,2023-05-24,66.66,67.8,68.55,66.31,4956100.0,0.023799999999999998,340745899.99999994
300666,江丰电子,2023-05-25,67.56,67.51,68.38,65.75,5965800.0,0.0287,405094700.0
300666,江丰电子,2023-05-26,67.81,66.99,68.08,66.38,4864500.0,0.023399999999999997,333025199.99999994
300666,江丰电子,2023-05-29,67.21,67.73,68.19,66.19,5147100.0,0.024700000000000003,353855500.0
300666,江丰电子,2023-05-30,67.71,67.56,68.05,66.82,4167200.0,0.02,285363300.0
300666,江丰电子,2023-05-31,67.21,67.65,67.88,65.77,6149800.0,0.0296,417770199.99999994
300666,江丰电子,2023-06-01,67.31,67.03,67.31,66.22,3682800.0,0.0177,249986300.0
300666,江丰电子,2023-06-02,67.01,69.51,70.47,66.59,6905700.0,0.0332,483803100.0
300666,江丰电子,2023-06-05,69.91,70.03,72.54,69.91,6099900.0,0.029300000000000003,440259100.00000006
300666,江丰电子,2023-06-06,69.88,68.3,70.01,68.18,3836000.0,0.0184,268601800.0
300666,江丰电子,2023-06-07,68.27,67.67,69.22,67.21,2971000.0,0.0143,205221000.0
300666,江丰电子,2023-06-08,67.7,67.75,67.94,66.76,3452900.0,0.0166,236522300.0
300666,江丰电子,2023-06-09,67.76,68.59,70.29,67.4,6592100.0,0.0317,460500199.99999994
300666,江丰电子,2023-06-12,69.2,68.66,69.78,68.27,3126200.0,0.015,219184500.0
300666,江丰电子,2023-06-13,68.61,71.63,71.83,67.78,6727100.0,0.0323,482723800.0
300666,江丰电子,2023-06-14,71.6,72.14,72.7,70.82,5637900.0,0.0271,410941500.0
300666,江丰电子,2023-06-15,72.14,71.26,72.5,70.9,3274900.0,0.015700000000000002,237193800.0
300666,江丰电子,2023-06-16,71.12,70.78,71.91,70.32,3561300.0,0.0171,255308400.0
300666,江丰电子,2023-06-19,70.34,70.23,71.1,69.81,3093100.0,0.0149,220588600.0
300666,江丰电子,2023-06-20,70.26,70.31,70.68,69.71,2997600.0,0.0144,213176300.0
300666,江丰电子,2023-06-21,70.07,65.91,70.22,65.82,7347100.0,0.0353,499379100.00000006
300666,江丰电子,2023-06-26,65.24,65.79,67.11,64.91,3153500.0,0.0152,210380400.0
300666,江丰电子,2023-06-27,65.64,65.93,66.81,65.03,2741700.0,0.0132,183009600.0
300666,江丰电子,2023-06-28,65.93,63.95,66.29,63.33,5233700.0,0.0252,341963900.0
300666,江丰电子,2023-06-29,63.93,64.32,64.73,63.41,2899300.0,0.013999999999999999,188608200.0
300666,江丰电子,2023-06-30,64.32,67.07,67.45,63.94,4329400.0,0.0209,290367800.0
300666,江丰电子,2023-07-03,67.91,71.05,72.24,67.61,8472100.0,0.0408,603217500.0
300666,江丰电子,2023-07-04,71.04,70.67,71.96,70.31,5055900.0,0.024399999999999998,363607500.0
300666,江丰电子,2023-07-05,70.38,68.63,70.74,68.21,3756000.0,0.0181,263799300.0
300666,江丰电子,2023-07-06,68.63,68.16,69.69,67.96,2505100.0,0.0121,174236900.0
300666,江丰电子,2023-07-07,67.97,66.83,67.97,66.36,3027000.0,0.0146,205392700.0
300666,江丰电子,2023-07-10,66.79,66.01,67.25,65.61,2358900.0,0.011399999999999999,158712300.0
300666,江丰电子,2023-07-11,65.96,66.99,67.26,65.91,2276500.0,0.011000000000000001,154285400.0
300666,江丰电子,2023-07-12,66.9,65.61,67.37,65.49,2835200.0,0.0137,189862200.0
300666,江丰电子,2023-07-13,65.91,66.51,67.61,65.66,2877700.0,0.0139,194607900.0
300666,江丰电子,2023-07-14,66.54,65.86,67.66,65.69,3048200.0,0.0147,204665099.99999997
300666,江丰电子,2023-07-17,65.07,64.69,65.08,63.77,3203500.0,0.0154,208757100.0
300666,江丰电子,2023-07-18,64.69,65.08,66.45,64.66,2847700.0,0.0137,189487700.0
300666,江丰电子,2023-07-19,64.77,64.01,65.64,63.91,2117100.0,0.0102,138143900.0
300666,江丰电子,2023-07-20,64.02,63.22,64.38,63.11,2227000.0,0.010700000000000001,143863500.0
300666,江丰电子,2023-07-21,63.22,63.34,63.67,62.31,1931700.0,0.009300000000000001,123536299.99999999
300666,江丰电子,2023-07-24,63.11,62.1,63.11,61.73,2729400.0,0.0131,172268800.0
300666,江丰电子,2023-07-25,62.79,64.2,64.55,62.5,3112600.0,0.015,200748900.0
300666,江丰电子,2023-07-26,64.01,64.46,64.58,63.46,2532100.0,0.012199999999999999,164762100.0
300666,江丰电子,2023-07-27,64.83,63.33,64.85,62.99,2138800.0,0.0103,138551200.0
300666,江丰电子,2023-07-28,62.91,62.37,63.62,62.07,3182000.0,0.015300000000000001,202040600.0
300666,江丰电子,2023-07-31,62.57,63.31,63.91,62.05,2463200.0,0.011899999999999999,157622100.0
300666,江丰电子,2023-08-01,63.71,63.3,63.86,63.16,1637300.0,0.0079,105390800.0
300666,江丰电子,2023-08-02,62.81,64.05,64.4,62.8,2440900.0,0.0118,158154000.0
300666,江丰电子,2023-08-03,63.68,63.41,64.3,63.14,1667500.0,0.008,107456000.0
300666,江丰电子,2023-08-04,63.5,63.21,63.9,62.55,1921900.0,0.009300000000000001,123141900.0
300666,江丰电子,2023-08-07,63.12,63.29,63.62,62.81,1395600.0,0.0067,89376200.00000001
300666,江丰电子,2023-08-08,63.02,62.9,63.37,62.55,1283100.0,0.0062,81876100.0
300666,江丰电子,2023-08-09,62.7,62.46,63.04,61.87,1552600.0,0.0075,97998300.0
300666,江丰电子,2023-08-10,62.46,62.33,62.93,62.11,1027300.0,0.0049,65117700.00000001
300666,江丰电子,2023-08-11,62.21,59.57,62.41,58.9,4249100.0,0.0204,259511800.0
300666,江丰电子,2023-08-14,58.91,59.45,59.61,58.74,1635800.0,0.0079,98317600.0
300666,江丰电子,2023-08-15,59.48,57.91,59.99,56.71,3643300.0,0.0175,214123700.0
300666,江丰电子,2023-08-16,57.5,57.58,58.01,56.41,2553500.0,0.0123,148434400.0
300666,江丰电子,2023-08-17,57.27,57.65,58.06,56.85,1938500.0,0.009300000000000001,113356299.99999999
300666,江丰电子,2023-08-18,57.64,56.72,58.58,56.71,1682200.0,0.008100000000000001,98521800.0
300666,江丰电子,2023-08-21,56.42,55.74,56.95,55.74,2250000.0,0.0108,128689000.0
300666,江丰电子,2023-08-22,56.16,56.34,56.66,54.69,2814700.0,0.013500000000000002,159394000.0
300666,江丰电子,2023-08-23,56.29,55.23,56.55,55.12,1561200.0,0.0075,88523100.0
300666,江丰电子,2023-08-24,55.61,55.78,56.61,55.03,1953800.0,0.009399999999999999,110954200.0
300666,江丰电子,2023-08-25,55.61,53.78,55.61,53.31,2781200.0,0.0134,153397900.0
300666,江丰电子,2023-08-28,56.61,53.11,57.43,52.72,4602700.0,0.022099999999999998,257221500.0
300666,江丰电子,2023-08-29,53.11,56.35,56.9,52.98,5067800.0,0.024399999999999998,285719200.0
300666,江丰电子,2023-08-30,56.79,56.97,58.33,56.66,4197600.0,0.0202,244666300.0
300666,江丰电子,2023-08-31,56.79,58.89,60.49,56.56,8741500.0,0.042,524092200.0
300666,江丰电子,2023-09-01,58.86,58.0,59.71,57.86,3957500.0,0.019,235414600.0
300666,江丰电子,2023-09-04,58.74,58.36,59.01,57.52,3036300.0,0.0146,178860200.0
300666,江丰电子,2023-09-05,58.71,58.45,59.43,57.98,4086600.0,0.0197,243934000.0
300666,江丰电子,2023-09-06,58.49,64.78,65.57,58.44,14227200.0,0.0684,901889299.9999999
300666,江丰电子,2023-09-07,64.49,61.88,64.75,61.71,9242100.0,0.0444,590228000.0
300666,江丰电子,2023-09-08,61.68,64.51,66.77,61.21,11874800.0,0.0571,782805500.0
300666,江丰电子,2023-09-11,64.15,64.48,65.21,63.06,8544200.0,0.041100000000000005,555507900.0
300666,江丰电子,2023-09-12,64.58,63.81,64.88,63.31,5106300.0,0.0246,331595400.0
300666,江丰电子,2023-09-13,63.21,63.99,64.76,63.11,4780500.0,0.023,310166800.0
300666,江丰电子,2023-09-14,63.96,63.76,64.08,62.68,3604800.0,0.0173,231205000.0
300666,江丰电子,2023-09-15,63.76,65.72,67.77,63.31,8769900.0,0.042199999999999994,585484800.0
300666,江丰电子,2023-09-18,65.0,63.76,65.59,62.88,5974700.0,0.0287,386857400.0
300666,江丰电子,2023-09-19,63.16,64.12,65.31,61.86,5474000.0,0.0263,353107100.0
300666,江丰电子,2023-09-20,63.63,63.19,64.72,63.19,2807700.0,0.013500000000000002,181782300.0
300666,江丰电子,2023-09-21,62.76,62.42,63.81,62.16,2423200.0,0.011699999999999999,154283100.0
300666,江丰电子,2023-09-22,62.1,62.98,63.02,61.47,4401100.0,0.0212,277774000.0
300666,江丰电子,2023-09-25,62.41,62.01,62.41,60.83,4210800.0,0.0202,263488300.00000003
300666,江丰电子,2023-09-26,61.81,61.09,61.81,60.41,3134500.0,0.0151,194405400.0
300666,江丰电子,2023-09-27,60.66,60.87,62.3,60.66,2362100.0,0.011399999999999999,147182700.0
300666,江丰电子,2023-09-28,60.88,61.2,62.49,60.01,3744000.0,0.018000000000000002,232498800.0
300666,江丰电子,2023-10-09,61.21,61.76,63.1,61.21,3828600.0,0.0184,240863100.0
300666,江丰电子,2023-10-10,61.71,61.96,62.71,61.6,2655300.0,0.0128,167240000.0
300666,江丰电子,2023-10-11,62.61,62.63,62.91,61.41,3591900.0,0.0173,226981300.0
300666,江丰电子,2023-10-12,62.63,63.99,63.99,61.73,4877300.0,0.0235,311148500.0
300666,江丰电子,2023-10-13,63.99,65.74,66.58,63.34,6600100.0,0.0317,438416600.00000006
300666,江丰电子,2023-10-16,65.32,62.53,65.67,61.91,4961000.0,0.0239,317791200.0
300666,江丰电子,2023-10-17,62.53,64.2,64.96,62.0,4046400.0,0.0195,261335000.0
300666,江丰电子,2023-10-18,63.52,62.8,65.22,62.8,4237500.0,0.0204,275612400.0
300666,江丰电子,2023-10-19,61.91,62.09,64.5,61.71,3827700.0,0.0184,244571800.0
300666,江丰电子,2023-10-20,61.72,59.77,62.48,59.14,4070900.0,0.0196,249059400.0
300666,江丰电子,2023-10-23,58.85,57.57,58.85,55.41,4623100.0,0.0222,267342800.0
300666,江丰电子,2023-10-24,57.73,59.7,60.27,56.81,4557900.0,0.0219,271990200.0
300666,江丰电子,2023-10-25,59.74,58.8,60.34,58.03,3598500.0,0.0173,214598100.0
300666,江丰电子,2023-10-26,58.55,57.91,58.71,57.11,2803400.0,0.013500000000000002,164472900.0
300666,江丰电子,2023-10-27,57.81,59.63,60.21,57.11,4325700.0,0.0208,257622700.0
300666,江丰电子,2023-10-30,59.11,61.85,62.29,58.82,4865100.0,0.023399999999999997,301783300.0
300666,江丰电子,2023-10-31,61.92,61.11,62.61,60.55,3001200.0,0.0144,186384400.0
300666,江丰电子,2023-11-01,60.8,60.92,61.81,60.63,2077800.0,0.01,128877500.0
300666,江丰电子,2023-11-02,61.37,59.32,61.99,59.31,2814900.0,0.013500000000000002,172023900.0
300666,江丰电子,2023-11-03,59.34,61.71,62.39,59.17,5214600.0,0.025099999999999997,322374400.0
300666,江丰电子,2023-11-06,62.61,63.34,63.79,62.11,4669900.0,0.0225,298726800.0
300666,江丰电子,2023-11-07,62.96,63.07,64.26,62.74,3002600.0,0.0144,192589700.0
300666,江丰电子,2023-11-08,63.16,63.98,64.99,62.56,4540200.0,0.0218,294011000.0
300666,江丰电子,2023-11-09,64.61,64.06,65.77,63.99,4834200.0,0.0232,317608700.0
300666,江丰电子,2023-11-10,64.11,63.02,65.12,62.86,3754000.0,0.0181,242837500.0
300666,江丰电子,2023-11-13,63.55,63.32,64.44,62.91,2278900.0,0.011000000000000001,146299600.0
300666,江丰电子,2023-11-14,63.11,63.44,64.23,62.91,3082300.0,0.0148,198610700.0
300666,江丰电子,2023-11-15,64.12,62.58,64.21,62.46,3740200.0,0.018000000000000002,239047300.0
300666,江丰电子,2023-11-16,62.38,61.53,62.99,61.5,3011800.0,0.014499999999999999,189126500.0
300666,江丰电子,2023-11-17,61.51,62.51,63.26,61.51,2768800.0,0.013300000000000001,175334400.0
300666,江丰电子,2023-11-20,62.91,63.14,64.48,62.53,3686300.0,0.0177,236781500.0
300666,江丰电子,2023-11-21,63.1,62.11,63.47,62.01,2595700.0,0.0125,165242599.99999997
300666,江丰电子,2023-11-22,62.08,61.27,62.36,61.08,1887800.0,0.0091,117975300.0
300666,江丰电子,2023-11-23,61.06,61.59,61.74,60.43,1773400.0,0.0085,110048000.0
300666,江丰电子,2023-11-24,61.6,59.91,61.6,59.77,2053000.0,0.009899999999999999,125560400.00000001
300666,江丰电子,2023-11-27,59.81,61.22,61.57,59.36,2969700.0,0.0143,182873200.0
300666,江丰电子,2023-11-28,61.12,61.06,61.59,60.57,1464100.0,0.006999999999999999,90618300.0
300666,江丰电子,2023-11-29,61.06,60.66,61.69,60.59,1394700.0,0.0067,86443900.0
300666,江丰电子,2023-11-30,60.71,59.3,60.71,58.93,1889700.0,0.0091,114281000.0
300666,江丰电子,2023-12-01,59.3,60.19,60.39,59.05,1640300.0,0.0079,99472000.0
300666,江丰电子,2023-12-04,60.34,59.86,60.79,59.81,1332500.0,0.0064,81375500.0
300666,江丰电子,2023-12-05,59.65,58.58,59.67,58.56,1390000.0,0.0067,83368400.0
300666,江丰电子,2023-12-06,58.55,58.7,59.15,58.49,1168400.0,0.005600000000000001,69669500.0
300666,江丰电子,2023-12-07,58.51,58.31,59.01,57.91,1191300.0,0.005699999999999999,70561500.0
300666,江丰电子,2023-12-08,58.29,57.81,58.99,57.33,2792500.0,0.0134,164584800.0
300666,江丰电子,2023-12-11,57.46,59.1,59.31,56.9,2386900.0,0.0115,140782700.0
300666,江丰电子,2023-12-12,59.11,59.16,59.41,58.68,1642700.0,0.0079,98554900.0
300666,江丰电子,2023-12-13,59.1,58.87,60.14,58.79,1953300.0,0.009399999999999999,117929700.0
300666,江丰电子,2023-12-14,58.99,58.36,59.5,58.36,1266700.0,0.0060999999999999995,75642300.0
300666,江丰电子,2023-12-15,58.39,57.85,58.76,57.6,1250200.0,0.006,73793200.0
300666,江丰电子,2023-12-18,57.89,55.95,57.89,55.41,2249900.0,0.0108,129076200.00000001
300666,江丰电子,2023-12-19,56.1,56.18,56.99,55.61,1313200.0,0.0063,74902800.0
300666,江丰电子,2023-12-20,56.5,55.77,56.5,55.67,1249000.0,0.006,70977000.0
300666,江丰电子,2023-12-21,55.8,55.37,56.29,54.95,1835100.0,0.0088,103427200.0
300666,江丰电子,2023-12-22,55.61,54.59,55.62,54.41,2014600.0,0.0097,112296900.0
300666,江丰电子,2023-12-25,54.67,54.71,55.37,54.11,951900.0,0.0046,52958500.0
300666,江丰电子,2023-12-26,54.71,53.74,54.91,53.31,1426900.0,0.0069,78040500.0
300666,江丰电子,2023-12-27,53.86,54.18,55.0,53.54,2105800.0,0.0101,116233000.0
300666,江丰电子,2023-12-28,54.32,55.68,55.87,53.81,2305800.0,0.0111,129414400.0
300666,江丰电子,2023-12-29,55.89,57.69,58.11,55.62,4269300.0,0.020499999999999997,248624000.0
300666,江丰电子,2024-01-02,57.92,57.29,58.35,57.09,2396500.0,0.0115,140488000.0
300666,江丰电子,2024-01-03,56.96,55.91,57.28,55.42,1935700.0,0.009300000000000001,110613400.0
300666,江丰电子,2024-01-04,55.92,55.03,56.2,54.58,1770800.0,0.0085,99161000.0
300666,江丰电子,2024-01-05,55.04,51.67,55.36,50.31,5237500.0,0.0252,279543100.0
300666,江丰电子,2024-01-08,51.61,49.33,51.61,49.19,3397900.0,0.0163,173637100.0
300666,江丰电子,2024-01-09,49.99,49.61,50.9,49.11,2886600.0,0.0139,146922900.0
300666,江丰电子,2024-01-10,49.57,49.29,50.3,48.06,1991300.0,0.0096,99954500.0
300666,江丰电子,2024-01-11,49.24,50.45,51.0,49.18,2141800.0,0.0103,109361100.0
300666,江丰电子,2024-01-12,50.26,50.23,50.78,50.03,1266400.0,0.0060999999999999995,64860100.0
300666,江丰电子,2024-01-15,50.01,49.8,50.91,49.45,1585000.0,0.0076,80820600.0
300666,江丰电子,2024-01-16,49.79,49.14,49.9,48.6,1779900.0,0.0086,89074400.0
300666,江丰电子,2024-01-17,49.17,46.88,49.23,46.88,2351700.0,0.0113,114634599.99999999
300666,江丰电子,2024-01-18,46.9,47.61,47.64,45.58,3329300.0,0.016,157447800.0
300666,江丰电子,2024-01-19,47.61,47.03,48.34,47.0,1690200.0,0.008100000000000001,81756300.0
300666,江丰电子,2024-01-22,47.09,44.11,47.41,43.62,2840400.0,0.0137,131453900.0
300666,江丰电子,2024-01-23,44.12,45.17,45.4,43.69,2990700.0,0.0144,136578900.0
300666,江丰电子,2024-01-24,45.44,44.78,45.5,43.16,3020800.0,0.014499999999999999,136220400.0
300666,江丰电子,2024-01-25,44.77,46.21,46.29,44.01,2593100.0,0.0125,120417000.0
300666,江丰电子,2024-01-26,46.05,44.06,46.05,43.79,4114000.0,0.019799999999999998,187549300.0
300666,江丰电子,2024-01-29,44.06,42.95,44.76,42.62,2784500.0,0.0134,123207300.0
300666,江丰电子,2024-01-30,42.95,40.54,42.95,40.41,5095600.0,0.0245,215005000.0
300666,江丰电子,2024-01-31,40.34,38.49,40.73,38.47,3820900.0,0.0184,154229200.0
300666,江丰电子,2024-02-01,38.83,38.65,39.72,38.05,4122600.0,0.019799999999999998,163747700.0
300666,江丰电子,2024-02-02,38.65,36.97,39.09,35.7,5354000.0,0.025699999999999997,204696300.0
300666,江丰电子,2024-02-05,36.69,34.11,36.92,32.55,7321600.0,0.0352,258671600.0
300666,江丰电子,2024-02-06,33.88,37.06,37.07,33.71,6939500.0,0.0334,254003600.0
300666,江丰电子,2024-02-07,37.11,40.37,40.88,37.11,7399700.0,0.0356,301524800.0
300666,江丰电子,2024-02-08,41.11,41.78,43.22,40.55,6567000.0,0.0316,283594800.0
300666,江丰电子,2024-02-19,42.71,42.01,42.86,41.11,5111000.0,0.0246,218437599.99999997
300666,江丰电子,2024-02-20,41.42,41.57,41.89,40.95,3851100.0,0.018500000000000003,162720800.0
300666,江丰电子,2024-02-21,41.31,42.14,43.7,41.02,5071900.0,0.024399999999999998,220086100.0
300666,江丰电子,2024-02-22,42.02,43.61,43.98,42.02,5459300.0,0.0263,240934300.0
300666,江丰电子,2024-02-23,44.03,44.15,44.44,43.01,4934700.0,0.023700000000000002,219872700.0
300666,江丰电子,2024-02-26,44.16,45.04,45.77,43.88,5145600.0,0.024700000000000003,234903600.0
300666,江丰电子,2024-02-27,44.55,46.48,46.48,44.54,5721600.0,0.0275,265744400.0
